,Cmin,Cmax,Cmin_rna,Cmax_rna,coex,string,Cmin_Nucleus,Cmin_Cytoplasm,Cmin_Mitochondrion,Cmin_Endoplasmic_reticulum,Cmin_Golgi_apparatus,Cmin_Plasma_membrane,Cmin_Vacuole,Cmin_Peroxisome,Cmin_Cytoskeleton,Cmin_Cell_wall,Cmax_Nucleus,Cmax_Cytoplasm,Cmax_Mitochondrion,Cmax_Endoplasmic_reticulum,Cmax_Golgi_apparatus,Cmax_Plasma_membrane,Cmax_Vacuole,Cmax_Peroxisome,Cmax_Cytoskeleton,Cmax_Cell_wall,Kd,int_stoich,fb_pred,Kd_pred,Kd_pred_RF,fb_pred_RF
6739,YLR312W-A,YNL147W,16.65242927400007,49.1458875952001,0.1163070089721422,180.0,0.5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.799,0.844,0.0,0.668,0.881,0.0,0.926,0.674,-4.347541623561868,-2.4137905313756898,-1.301632,-5.9220138,-4.671092740095084,-2.109072048723916
6740,YLR312W-A,YDR296W,16.65242927400007,29.975010595200025,0.9278110562297314,955.0,0.5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.854712362889498,-0.3779543021330848,-0.60136366,-7.2394867,-6.764377857495671,-0.5012791420152546
6741,YOR161C,YLR312W-A,8.173366252380015,16.65242927400007,0.2321066482406791,0.0,0.893,1.26,0.949,0.0,0.0,4.648,0.0,0.306,1.247,0.646,0.5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.096932494470352,-1.3050351802012097,-1.3602427,-6.0395217,-6.091726335051098,-1.3369030593468292
6742,YLR312W-A,YER112W,16.65242927400007,37.17142630739997,0.0209073277994441,0.0,0.5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.023,0.57,0.0,0.966,0.895,0.0,0.93,0.582,-5.231074897932591,-1.5560227756889284,-1.1421077,-6.16479,-5.756246291888025,-1.2755272664576387
6743,YLR312W-A,YGL122C,16.65242927400007,45.45075339970002,0.0416893505140166,292.0,0.5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.577,0.688,0.0,0.803,0.896,0.333,0.578,0.824,-6.551284352333711,-0.6120430599207889,-1.3062539,-6.0121484,-6.416962066210345,-0.7589799843726357
6744,YLR316C,YBR262C,13.664451319799984,34.373970220300066,0.0391145468442155,0.0,4.604,5.0,2.222,0.0,0.0,0.0,0.0,5.0,0.627,0.0,1.166,5.0,5.0,1.315,0.0,0.701,0.0,0.0,0.512,0.0,-5.311701723953701,-2.0257190457787866,-1.3267256,-6.705644,-5.56688417625982,-1.763704305457643
6745,YLR316C,YPR072W,13.664451319799984,50.8103650716,0.8813526390494626,0.0,4.604,5.0,2.222,0.0,0.0,0.0,0.0,5.0,0.627,0.0,5.0,5.0,1.251,0.84,0.0,0.0,0.609,0.0,1.016,0.74,-4.963315107489345,-2.3692175690617643,-1.7396708,-5.8737707,-5.339329630473745,-1.99136675618244
6746,YLR319C,YKR039W,11.187877759900031,53.67583807530005,0.1306425977924171,0.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,1.928,5.0,1.93,4.398,2.044,5.0,5.0,2.25,1.429,1.969,-5.331209430468621,-1.7485740459466623,-1.4482236,-5.287622,-5.317957340056169,-1.7799811304971918
6747,YLR319C,YGR191W,11.187877759900031,46.58412801960004,0.7144045681520713,0.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,0.939,4.622,1.148,4.252,1.209,4.742,1.465,1.322,1.223,1.226,-4.620948272107583,-2.441770884750832,-1.7180732,-5.8873935,-5.420929663112323,-1.613413362405318
6748,YLR319C,YOL020W,11.187877759900031,50.8595640325001,0.7991189549280048,0.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,1.405,4.489,1.312,4.31,1.603,5.0,2.222,1.281,1.174,1.464,-4.743767074329883,-2.3213980349211467,-1.614718,-5.8612566,-5.172947193959836,-1.831894840179639
6749,YLR319C,YLR017W,11.187877759900031,94.1267104657,0.5704096208894773,0.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,5.0,5.0,3.186,0.778,0.628,1.005,0.886,0.891,0.861,0.547,-5.092782961600325,-1.9814670229814204,-1.8452615,-5.609434,-5.256441298556788,-1.9439952228075343
6750,YGR065C,YLR319C,22.910193283199963,11.187877759900031,0.4368382434494754,0.0,1.026,1.44,1.183,0.0,0.627,5.0,1.13,0.863,0.0,1.006,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,-5.45963446279066,-1.7672571229659302,-1.7069936,-5.5077486,-5.525711269223203,-1.67155018198746
6751,YLR319C,YLL012W,11.187877759900031,36.203455917599975,0.6075323703274935,287.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,0.956,2.971,1.298,2.375,1.631,1.542,1.216,1.174,0.0,0.647,-5.421528233533402,-1.6582687011072637,-1.7623997,-6.028107,-5.443646911440128,-1.6432861350693195
6752,YLR319C,YMR296C,11.187877759900031,155.27933738900032,0.6225298938787576,178.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,2.952,5.0,2.096,5.0,2.126,2.413,2.069,1.279,1.534,1.821,-4.803210321075921,-2.2682344602191886,-2.0551188,-5.4165154,-5.080573666906934,-1.9718728094033613
6753,YER037W,YLR319C,5.711203126660016,11.187877759900031,0.1650772445563492,0.0,4.506,4.447,1.387,0.0,0.0,0.943,1.342,0.333,0.0,1.102,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,-5.4052198684751565,-1.912337125137573,-1.4817747,-6.6443024,-5.571695761704145,-1.777162250150342
6754,YLR319C,YKL049C,11.187877759900031,33.58187438479994,0.79148763429986,0.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,4.566,5.0,1.043,0.844,0.0,0.862,0.528,5.0,2.684,0.835,-6.68542239390306,-0.6425818003493322,-1.7502375,-5.882037,-6.5176071231038,-0.7867427404498356
6755,YGL186C,YLR319C,16.804722855099968,11.187877759900031,0.8152459536973208,0.0,0.505,4.232,0.976,0.0,0.0,5.0,4.0,0.209,0.0,0.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,-6.079089281533171,-1.3144860999568524,-1.6662852,-5.7984366,-5.930045549302212,-1.4125519610772042
6756,YLR319C,YOR304C-A,11.187877759900031,23.88321307509996,0.7304324289780671,863.0000000000001,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,2.69,4.473,0.0,0.0,0.0,0.758,0.505,0.574,1.194,0.71,-6.851297754144729,-0.5897859531393733,-1.158282,-6.5815873,-6.712765578685254,-0.7206743756637508
6757,YLR319C,YHR196W,11.187877759900031,48.52936212349994,0.612092970989579,0.0,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,5.0,2.324,0.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.455485572367855,-1.6428094733455247,-1.7306225,-5.873853,-5.606207938797328,-1.5663826719952132
6758,YML116W,YLR319C,10.16026191590002,11.187877759900031,0.5079508117250553,0.0,1.218,5.0,1.333,0.828,0.0,5.0,5.0,1.205,0.544,1.604,3.511,5.0,0.97,1.512,0.912,1.873,1.171,0.842,5.0,1.818,-6.534154661653889,-0.7624463300502243,-1.7895126,-5.9848685,-6.245590607069557,-1.103251955219926
