,Cmin,Cmax,Cmin_rna,Cmax_rna,coex,string,Cmin_Nucleus,Cmin_Cytoplasm,Cmin_Mitochondrion,Cmin_Endoplasmic_reticulum,Cmin_Golgi_apparatus,Cmin_Plasma_membrane,Cmin_Endosome,Cmin_Lysosome,Cmin_Peroxisome,Cmin_Cytoskeleton,Cmin_Extracellular_region,Cmax_Nucleus,Cmax_Cytoplasm,Cmax_Mitochondrion,Cmax_Endoplasmic_reticulum,Cmax_Golgi_apparatus,Cmax_Plasma_membrane,Cmax_Endosome,Cmax_Lysosome,Cmax_Peroxisome,Cmax_Cytoskeleton,Cmax_Extracellular_region,Kd,int_stoich,fb_pred,Kd_pred,corum,Kd_pred_RF,fb_pred_RF
12479,RAB11FIP2,RAB11B,12.433478330000037,52.34861699999999,0.178470802152389,989.0,4.783,5.0,0.659,1.229,1.753,5.0,5.0,1.57,0.807,1.824,1.257,1.342,5.0,0.906,0.944,3.595,1.27,4.278,0.729,0.0,3.407,4.227,-4.265160890218463,-3.371830274970081,-1.6838578,-5.077644,0.0,-4.767112839725775,-2.813342830348692
12480,RAB11FIP2,YWHAG,12.433478330000037,121.98233330000005,0.0338871346037925,405.99999999999994,4.783,5.0,0.659,1.229,1.753,5.0,5.0,1.57,0.807,1.824,1.257,5.0,5.0,5.0,1.785,1.486,1.957,1.433,1.641,0.849,3.044,4.369,-5.332931398129082,-2.4962088192351146,-3.4641142,-3.896848,0.0,-5.097553962409295,-2.663144911682652
12481,RAB11A,RAB11FIP2,235.15864449999984,12.433478330000037,0.5270005321258769,999.0,2.603,5.0,2.247,2.632,5.0,5.0,5.0,3.176,1.538,5.0,5.0,4.783,5.0,0.659,1.229,1.753,5.0,5.0,1.57,0.807,1.824,1.257,-7.080497633242221,-0.8055704817761065,-1.1311105,-6.5032606,1.0,-6.434128833345209,-1.1168544660294577
12482,RAB11FIP2,NCL,12.433478330000037,1340.2423469999926,0.1000995842018779,266.0,4.783,5.0,0.659,1.229,1.753,5.0,5.0,1.57,0.807,1.824,1.257,5.0,5.0,2.215,2.01,1.674,4.518,2.247,2.152,1.003,2.334,4.456,-5.43881042908938,-2.5538154740064574,-3.658993,-3.3691204,0.0,-4.883411322285032,-2.6924168760335103
12483,RAB11FIP2,YWHAB,12.433478330000037,171.4434139999997,0.17356197178184,471.0,4.783,5.0,0.659,1.229,1.753,5.0,5.0,1.57,0.807,1.824,1.257,5.0,5.0,1.996,1.826,1.497,1.976,1.463,1.592,1.147,2.17,4.355,-4.950548865207704,-2.798626575544606,-3.4147773,-3.8324602,0.0,-4.853412755509078,-2.9335113011466216
12484,GPAT3,RAB11FIP2,7.906998999999986,12.433478330000037,0.4202050791996096,229.99999999999997,1.794,5.0,2.063,5.0,1.077,3.042,0.698,1.128,1.799,1.09,1.749,4.783,5.0,0.659,1.229,1.753,5.0,5.0,1.57,0.807,1.824,1.257,-6.081193997095007,-1.6492798254857155,-2.890349,-5.0199947,0.0,-5.867462273460783,-1.9075074479770424
12485,RAB11FIP2,YWHAH,12.433478330000037,178.25504900000107,0.3110043794198885,459.0,4.783,5.0,0.659,1.229,1.753,5.0,5.0,1.57,0.807,1.824,1.257,2.911,5.0,5.0,1.595,1.057,4.343,1.254,1.256,0.977,1.944,4.336,-4.764408144785701,-2.91768433870194,-3.5382452,-3.4618304,0.0,-4.608100719113238,-3.087118325465117
12486,RAB11FIP5,YWHAZ,11.91240867,479.14495499999896,0.4484560708756899,183.0,4.531,5.0,5.0,1.07,4.335,4.36,4.453,1.429,0.0,4.603,1.22,5.0,5.0,2.654,2.091,1.673,2.367,1.888,1.906,1.399,2.551,4.483,-4.702475856470609,-2.876831201546866,-2.845724,-4.845239,0.0,-4.304382721638971,-3.2696352967363267
12487,RAB11A,RAB11FIP5,235.15864449999984,11.91240867,0.6558974865655569,999.0,2.603,5.0,2.247,2.632,5.0,5.0,5.0,3.176,1.538,5.0,5.0,4.531,5.0,5.0,1.07,4.335,4.36,4.453,1.429,0.0,4.603,1.22,-7.726921219512087,-0.5248616688402072,-1.4907961,-7.0626407,1.0,-6.96118543586603,-0.7920753583784825
12488,RAB11FIP5,PSME3,11.91240867,305.43503069999866,0.0924112060107583,190.0,4.531,5.0,5.0,1.07,4.335,4.36,4.453,1.429,0.0,4.603,1.22,4.738,4.726,2.281,1.649,1.044,1.463,1.183,1.608,0.92,4.322,1.546,-3.714046941000474,-3.720273786310724,-3.0742013,-4.186717,0.0,-3.6517089931180657,-3.7124789013860537
12489,RAB11FIP5,YWHAE,11.91240867,1397.5557550000055,0.3927386735956005,183.0,4.531,5.0,5.0,1.07,4.335,4.36,4.453,1.429,0.0,4.603,1.22,5.0,5.0,3.893,4.384,1.668,2.048,1.741,1.701,1.491,2.438,4.4,-3.829048961641564,-3.630841723109552,-2.5870664,-4.7052336,0.0,-4.045436287144772,-3.426260274863639
12490,RAB12,GDI2,19.059436999999956,171.37894269999973,0.3225660409254174,807.0,2.158,4.723,1.715,1.121,3.707,3.54,4.382,4.396,0.0,1.568,1.301,1.77,5.0,1.868,2.362,3.775,2.055,1.924,4.321,0.887,1.843,4.285,-4.600737836342482,-2.811902964710519,-1.9877777,-4.640274,0.0,-4.640799449628785,-2.7092934124608643
12491,RAB12,LSS,19.059436999999956,64.38954566999978,0.0359861812903114,319.0,2.158,4.723,1.715,1.121,3.707,3.54,4.382,4.396,0.0,1.568,1.301,2.663,5.0,2.007,5.0,1.357,1.762,0.99,1.372,1.778,1.289,1.678,-3.755571967809993,-3.6025115332083844,-2.912661,-4.6815405,0.0,-4.115341803731504,-3.2499325373929
12492,RAB12,CHM,19.059436999999956,12.938735699999986,0.346632225706208,772.0,2.158,4.723,1.715,1.121,3.707,3.54,4.382,4.396,0.0,1.568,1.301,4.307,5.0,2.167,2.556,1.451,2.115,1.511,1.523,1.327,1.725,1.995,-6.023934733594957,-1.3773075718408607,-2.2404199,-4.966669,0.0,-5.763403964011401,-1.6567746004438129
12493,RAB12,GDI1,19.059436999999956,157.0823902999999,0.2108074687406691,906.0,2.158,4.723,1.715,1.121,3.707,3.54,4.382,4.396,0.0,1.568,1.301,1.533,4.741,1.64,4.397,3.774,1.736,1.822,1.487,0.453,1.726,1.632,-5.899210215229348,-1.6964032717700144,-1.6350629,-5.7385573,0.0,-5.436935660150385,-1.8717846986418956
12494,RAB13,GDI1,98.36529567000012,157.0823902999999,0.2401729670273864,916.0,1.716,5.0,2.15,1.593,5.0,5.0,5.0,1.913,1.419,2.067,4.324,1.533,4.741,1.64,4.397,3.774,1.736,1.822,1.487,0.453,1.726,1.632,-6.000807082866174,-0.9115583585250386,-1.6774466,-4.7951384,0.0,-5.663491525640273,-1.1457283578352786
12495,RAB13,RABIF,98.36529567000012,12.955199999999984,0.1581179122508816,832.0,1.716,5.0,2.15,1.593,5.0,5.0,5.0,1.913,1.419,2.067,4.324,3.209,4.586,2.29,2.628,2.72,2.982,2.84,2.564,1.486,3.845,3.116,-4.454361708867678,-2.158084038915082,-1.7185745,-4.6915374,0.0,-4.715197118920978,-2.216830802767054
12496,RTN4,RAB14,110.98150890000004,40.73514666999998,0.275214056181887,250.0,5.0,5.0,1.992,5.0,1.806,5.0,1.806,1.716,1.115,2.282,2.113,2.545,5.0,2.0,4.345,4.443,4.537,5.0,4.443,0.897,1.9,4.348,-4.0668016338992565,-2.250046262126546,-2.3873558,-4.026145,0.0,-4.156727395098954,-2.235846211033491
12497,LAMTOR2,RAB14,116.73547330000025,40.73514666999998,0.2020700836223284,227.99999999999997,2.896,5.0,2.427,1.8,1.257,4.278,5.0,5.0,0.729,1.273,1.515,2.545,5.0,2.0,4.345,4.443,4.537,5.0,4.443,0.897,1.9,4.348,-3.633939125722506,-2.706726717294769,-2.323937,-3.974194,0.0,-3.940187634731288,-2.329987636222779
12498,STX12,RAB14,42.75795333000004,40.73514666999998,0.0765432902523777,463.99999999999994,4.483,5.0,1.605,1.34,4.548,1.917,4.43,1.763,0.0,1.396,1.166,2.545,5.0,2.0,4.345,4.443,4.537,5.0,4.443,0.897,1.9,4.348,-3.530035270572144,-2.642897383066457,-2.5781283,-3.8327413,0.0,-3.654905305811168,-2.6736176212011697
12499,RAB14,TMED10,40.73514666999998,183.321759,0.0539142088939732,458.0,2.545,5.0,2.0,4.345,4.443,4.537,5.0,4.443,0.897,1.9,4.348,1.523,5.0,1.322,5.0,5.0,5.0,1.8,2.103,0.647,1.326,2.719,-3.0043263492705994,-3.050145942521604,-2.3042183,-4.2437773,0.0,-3.362454323936279,-2.739544934681337
12500,LAMP1,RAB14,64.59903999999959,40.73514666999998,0.2233709026837611,426.0,3.008,5.0,2.876,3.052,3.064,5.0,5.0,5.0,2.216,2.841,4.689,2.545,5.0,2.0,4.345,4.443,4.537,5.0,4.443,0.897,1.9,4.348,-3.005496276023228,-3.2703970061763443,-2.2960265,-3.857682,0.0,-3.3690739608858307,-2.978990921183516
